,continent,country_name,country_code_iso2,region_name,city_name,city_code,city_image_url,airport_name,airport_code_IATA,airport_type,airport_lat,airport_lon
26,EU,Poland,PL,Gdansk,Gdańsk,GADA,https://content.skyscnr.com/d1a92e9f1873e310438eff1d7af8fe8e/GettyImages-484214866.jpg,Gdańsk Lech Wałęsa Airport,GDN,large_airport,54.37760162353516,18.46619987487793
27,EU,Luxembourg,LU,Luxembourg,Luxembourg,LUXE,https://content.skyscnr.com/a9c8f71cc409e74513aaf64dc4e75c66/GettyImages-510613019.jpg,Luxembourg-Findel International Airport,LUX,large_airport,49.6233333,6.2044444
28,EU,Estonia,EE,Tallinn,Tallinn,TALL,https://content.skyscnr.com/015db17d03bdfab43a01ed7ff17da6ab/tallinn-31.jpg,Lennart Meri Tallinn Airport,TLL,large_airport,59.41329956049999,24.8327999115
29,EU,Ireland,IE,Cork,Cork,CORK,https://content.skyscnr.com/4c7c10bd9a9271cea8d08484a16ff054/eyeem-26694340-92404957.jpg,Cork Airport,ORK,large_airport,51.84130096435547,-8.491109848022461
30,EU,Denmark,DK,Copenhagen,Copenhagen,COPE,https://content.skyscnr.com/d22c8f93938b699739ba5e9d682019af/GettyImages-474603829.jpg,Copenhagen Kastrup Airport,CPH,large_airport,55.617900848389,12.656000137329
31,EU,Norway,NO,Oslo,Oslo,OSLO,https://content.skyscnr.com/8ab21fe9e704f373e61689e635e63c60/GettyImages-498373538.jpg,Oslo Gardermoen Airport,OSL,large_airport,60.193901062012,11.100399971008
32,EU,Greece,GR,Samos,Samos Island,SAMO,https://content.skyscnr.com/df52d2430c81325627a43bc115ecd55a/GettyImages-515583235.jpg,Samos Airport,SMI,medium_airport,37.68999862670898,26.911699295043945
33,EU,Greece,GR,Preveza,Preveza/Lefkada,PREV,https://content.skyscnr.com/c7677bc2ddbcc1137b2b241fa73b34e4/GettyImages-177011027.jpg,Aktion National Airport,PVK,medium_airport,38.92549896240234,20.765300750732425
34,EU,Greece,GR,Skiathos,Skiathos,SKIA,https://content.skyscnr.com/1ee308075cd780dd3f4a54c7ebc5cee5/GettyImages-173505269.jpg,Skiathos Island National Airport,JSI,medium_airport,39.17710113525391,23.503700256347656
35,EU,Greece,GR,Rhodes,Rodes Island,RHOD,https://content.skyscnr.com/820d86000a71983d9be3142eef9520ad/GettyImages-457042629.jpg,Diagoras Airport,RHO,medium_airport,36.405399322509766,28.086200714111328
36,EU,Greece,GR,Karpathos,Karpathos Island,KARP,https://content.skyscnr.com/7996b96d2070419823aae011598b3e7b/GettyImages-520688121.jpg,Karpathos Airport,AOK,medium_airport,35.4213981628418,27.145999908447266
37,EU,Greece,GR,Zante (Zakynthos),Zakynthos Island,ZAKI,https://content.skyscnr.com/1918c9294f49446aa5f2b0fb74277476/gettyimages167462321.jpg,"Zakynthos International Airport ""Dionysios Solomos""",ZTH,medium_airport,37.7509,20.8843
38,EU,Greece,GR,Santorini (Thira),Santorini Island,THIR,https://content.skyscnr.com/b8ee8b55e33d881fb6ee3c139958b35f/GettyImages-484830108.jpg,Santorini Airport,JTR,medium_airport,36.399200439453125,25.47929954528809
39,EU,Greece,GR,Argostoli,Kefallinia Island,ARGO,https://content.skyscnr.com/m/2ff3b59101f83111/Large-eyeem-26694340-128416185.jpg,Kefallinia Airport,EFL,medium_airport,38.12009811401367,20.5004997253418
40,EU,Greece,GR,Kalamata,Kalamata,KALA,https://content.skyscnr.com/8d36127b464a51e1d72a0e103bb3c5c0/GettyImages-520439283.jpg,Kalamata Airport,KLX,medium_airport,37.06829833984375,22.02549934387207
41,AS,Türkiye (Turkey),TR,Istanbul,Istanbul,ISTA,https://content.skyscnr.com/m/364d135dc232411/original/Istanbul-postcard.jpg,Sabiha Gökçen International Airport,SAW,large_airport,40.898601532,29.3092002869
0,EU,United Kingdom,UK,Liverpool,Liverpool,LIVE,https://content.skyscnr.com/4d8148466079a5be8a7417ab17bc596f/GettyImages-470715430.jpg,Liverpool John Lennon Airport,LPL,large_airport,53.33359909057617,-2.849720001220703
1,EU,Sweden,SE,Stockholm,Stockholm / Nyköping,STOC,https://content.skyscnr.com/ff74ff6df34c2b06f6f895e14fe32512/GettyImages-100891056.jpg,Stockholm Skavsta Airport,NYO,medium_airport,58.78860092163086,16.912200927734375
2,EU,Germany,DE,Munich,Munich,MUNI,https://content.skyscnr.com/de0da70e0c97e398d73cc371eb8b6cc3/GettyImages-481909461.jpg,Munich Airport,MUC,large_airport,48.353802,11.7861
3,EU,Germany,DE,Munich,Munich,MUNI,https://content.skyscnr.com/de0da70e0c97e398d73cc371eb8b6cc3/GettyImages-481909461.jpg,Flughafen München-Riem,MUC,closed,48.137798309,11.69029999
4,AS,Jordan,JO,Aqaba,Aqaba,AQJA,https://content.skyscnr.com/m/22a95f5f427858c9/original/shutterstock_173518790.jpg,Aqaba King Hussein International Airport,AQJ,medium_airport,29.61160087585449,35.01810073852539
5,AS,United Arab Emirates,AE,Abu Dhabi,Abu Dhabi,AUHA,https://content.skyscnr.com/95e788b8a9a31c866ccf05e62c47d54a/GettyImages-467187687.jpg,Abu Dhabi International Airport,AUH,large_airport,24.433000564575195,54.651100158691406
6,EU,Switzerland,CH,Geneva,Geneva,GENE,https://content.skyscnr.com/ac5054692e970b4403945168ccc6aa0c/GettyImages-96654976.jpg,Geneva Cointrin International Airport,GVA,large_airport,46.23809814453125,6.108950138092041
0,EU,Germany,DE,Frankfurt,Frankfurt am Main,FRAN,https://content.skyscnr.com/e286ff180a40d9376f18c9c2b314565f/GettyImages-510973985.jpg,Frankfurt am Main Airport,FRA,large_airport,50.033333,8.570556
1,AS,Türkiye (Turkey),TR,Antalya,Antalya,ANTA,https://content.skyscnr.com/m/6f2cbf7c2ab90059/original/Kaputas-Antalya-postcard.jpg,Antalya International Airport,AYT,large_airport,36.898701,30.800501
0,EU,Romania,RO,Timișoara,Timişoara,TIMI,https://content.skyscnr.com/m/7ef91e4df199acc6/original/timisoara-217377_1280.jpg,Timişoara Traian Vuia Airport,TSR,medium_airport,45.809898376464844, 21.337900161743164
